,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
0,0,1994-06-17,ESP,KOR,tie,5,37,USA,0,0,3,-2,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1994-06-17,GER,BOL,Home,1,43,USA,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,1994-06-18,USA,SUI,tie,23,12,USA,1,0,-4,0,0,0,0,0,1,0,1,0,0,0,0,0
3,3,1994-06-18,ITA,IRL,Away,4,14,USA,0,0,5,-3,1,0,0,0,0,0,1,0,0,0,0,0
4,4,1994-06-18,COL,ROU,Away,17,7,USA,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
5,5,1994-06-19,BEL,MAR,Home,27,28,USA,0,0,-4,-1,1,0,0,0,0,0,0,0,1,0,0,0
6,6,1994-06-19,NOR,MEX,Home,6,16,USA,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0
7,7,1994-06-19,CMR,SWE,tie,24,10,USA,0,0,6,3,0,0,1,0,0,0,1,0,0,0,0,0
8,8,1994-06-20,NED,KSA,Home,2,34,USA,0,0,-1,-3,1,0,0,0,0,0,0,0,0,1,0,0
9,9,1994-06-20,BRA,RUS,Home,3,19,USA,0,0,-8,0,0,1,0,0,0,0,1,0,0,0,0,0
10,10,1994-06-21,ARG,GRE,Home,8,31,USA,0,0,5,4,0,1,0,0,0,0,1,0,0,0,0,0
11,11,1994-06-21,NGA,BUL,Home,11,29,USA,0,0,-4,-2,0,0,1,0,0,0,1,0,0,0,0,0
12,12,1994-06-21,GER,ESP,tie,1,5,USA,0,0,-2,0,1,0,0,0,0,0,1,0,0,0,0,0
13,13,1994-06-22,ROU,SUI,Away,7,12,USA,0,0,-4,1,1,0,0,0,0,0,1,0,0,0,0,0
14,14,1994-06-22,USA,COL,Home,23,17,USA,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
15,15,1994-06-23,ITA,NOR,Home,4,6,USA,0,0,-1,-3,1,0,0,0,0,0,1,0,0,0,0,0
16,16,1994-06-23,KOR,BOL,tie,37,43,USA,0,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0
17,17,1994-06-24,MEX,IRL,Home,16,14,USA,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0
18,18,1994-06-24,SWE,RUS,Home,10,19,USA,0,0,-8,6,1,0,0,0,0,0,1,0,0,0,0,0
19,19,1994-06-24,BRA,CMR,Home,3,24,USA,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
20,20,1994-06-25,BEL,NED,Home,27,2,USA,0,0,-3,-1,1,0,0,0,0,0,1,0,0,0,0,0
21,21,1994-06-25,KSA,MAR,Home,34,28,USA,0,0,-4,-1,0,0,0,1,0,0,0,0,1,0,0,0
22,22,1994-06-25,ARG,NGA,Home,8,11,USA,0,0,-2,4,0,1,0,0,0,0,0,0,1,0,0,0
23,23,1994-06-26,BUL,GRE,Home,29,31,USA,0,0,5,-4,1,0,0,0,0,0,1,0,0,0,0,0
